Card_Id,Ink,Image,Cost,Inkable,Name,Type,Body_Text,Classifications,Lore,Willpower,Strength,Move_Cost,KeywordAbilities,Abilities
1_137,Sapphire,https://lorcana-api.com/images/ariel/whoseit_collector/ariel-whoseit_collector-large.png,4,False,Ariel - Whoseit Collector,Character,"Look At This Stuff - Whenever you play an item, you may ready this character.","Storyborn, Hero, Princess",1.0,3.0,3.0,,,['Look At This Stuff']
1_138,Sapphire,https://lorcana-api.com/images/aurora/briar_rose/aurora-briar_rose-large.png,4,True,Aurora - Briar Rose,Character,"Disarming Beauty - When you play this character, chosen character gets -2 {s} this turn.","Storyborn, Hero, Princess",1.0,5.0,2.0,,,['Disarming Beauty']
1_139,Sapphire,https://lorcana-api.com/images/aurora/dreaming_gaurdian/aurora-dreaming_gaurdian-large.png,5,True,Aurora - Dreaming Guardian,Character,"Shift 3 (You may pay 3 {i} to play this on top of one of your characters named Aurora.) 

Protective Embrace - Your other characters gain Ward. (Opponents can't choose them except to challenge)","Floodborn, Hero, Princess",2.0,5.0,3.0,,"Shift 3, Ward","['Shift 3', 'Protective Embrace']"
1_14,Amber,https://lorcana-api.com/images/moana/of_motunui/moana-of_motunui-large.png,5,True,Moana - Of Motunui,Character,"We Can Fix It - Whenever this character quests, you may ready your other Princess Characters. They can't quest for the rest of this turn.","Storyborn, Hero, Princess",3.0,6.0,1.0,,,['We Can Fix It']
1_140,Sapphire,https://lorcana-api.com/images/aurora/regal_princess/aurora-regal_princess-large.png,2,True,Aurora - Regal Princess,Character,,"Storyborn, Hero, Princess",2.0,2.0,2.0,,,[]
1_141,Sapphire,https://lorcana-api.com/images/belle/inventive_engineer/belle-inventive_engineer-large.png,3,True,Belle - Inventive Engineer,Character,"Tinker - Whenever this character quests, you pay 1 {i} less for the next item you play this turn.","Dreamborn, Hero, Princess, Inventor",2.0,3.0,2.0,,,['Tinker']
1_142,Sapphire,https://lorcana-api.com/images/belle/strange_but_special/belle-strange_but_special-large.png,4,True,Belle - Strange but special,Character,"Read A Book - During your turn, you may put an additional card from your hand into your inkwell facedown.

My Favorite Part! - While you have 10 or more cards in your inkwell, this character gets +4 {l}.","Storyborn, Hero, Princess",1.0,4.0,2.0,,,"['Read A Book', 'My Favorite Part!']"
1_143,Sapphire,https://lorcana-api.com/images/chief_tui/respected_leader/chief_tui-respected_leader-large.png,7,True,Chief Tui - Respected Leader,Character,"Support (Whenever this character quests, you may add their {s} to another chosen character‘s {s} this turn.) ","Storyborn, Mentor, King",3.0,6.0,3.0,,Support,['Support']
1_144,Sapphire,https://lorcana-api.com/images/donald_duck/strutting_his_stuff/donald_duck-strutting_his_stuff-large.png,5,True,Donald Duck - Strutting His Stuff,Character,Ward (Opponents can't choose this character except to challenge.) ,"Dreamborn, Hero, Inventor",2.0,3.0,4.0,,Ward,['Ward']
1_145,Sapphire,https://lorcana-api.com/images/flounder/voice_of_reason/flounder-voice_of_reason-large.png,1,True,Flounder - Voice Of Reason,Character,,"Storyborn, Ally",1.0,2.0,2.0,,,[]
1_146,Sapphire,https://lorcana-api.com/images/gramma_tala/storyteller/gramma_tala-storyteller-large.png,2,True,Gramma Tala - Storyteller,Character,"I Will Be With You - When this character is banished, you may put this card into your inkwell facedown and exerted.","Storyborn, Mentor",1.0,1.0,1.0,,,['I Will Be With You']
1_147,Sapphire,https://lorcana-api.com/images/hades/infernal_schemer/hades-infernal_schemer-large.png,7,False,Hades - Infernal Schemer,Character,"Is There A Downside To This? - When you play this character, you may put chosen opposing character into their player's inkwell facedown.","Dreamborn, Villain, Deity",2.0,6.0,3.0,,,['Is There A Downside To This?']
1_148,Sapphire,https://lorcana-api.com/images/jasmine/disguised/jasmine-disguised-large.png,3,True,Jasmine - Disguised,Character,,"Storyborn, Princess",2.0,3.0,3.0,,,[]
1_149,Sapphire,https://lorcana-api.com/images/jasmine/queen_of_agrabah/jasmine-queen_of_agrabah-large.png,5,True,Jasmine - Queen Of Agrabah,Character,"Shift 3 (You may pay 3 {i} to play this on top of one of your characters named Jasmine.) 

Caretaker - When you play this character and whenever she quests, you may remove up to 2 damage from each of your characters.","Floodborn, Hero, Princess, Queen",2.0,5.0,2.0,,Shift 3,"['Shift 3', 'Caretaker']"
1_15,Amber,https://lorcana-api.com/images/mr._smee/loyal_first_mate/mr._smee-loyal_first_mate-large.png,3,True,Mr. Smee - Loyal First Mate,Character,,"Dreamborn, Ally, Pirate",1.0,5.0,2.0,,,[]
1_150,Sapphire,https://lorcana-api.com/images/maleficent/sinister_visitor/maleficent-sinister_visitor-large.png,4,True,Maleficent - Sinister Visitor,Character,,"Storyborn, Villain, Sorcerer",2.0,4.0,3.0,,,[]
1_151,Sapphire,https://lorcana-api.com/images/maleficent/uninvited/maleficent-uninvited-large.png,5,True,Maleficent - Uninvited,Character,,"Dreamborn, Villain, Sorcerer",3.0,6.0,3.0,,,[]
1_152,Sapphire,https://lorcana-api.com/images/maurice/world-famous_inventor/maurice-world-famous_inventor-large.png,6,True,Maurice - World-Famous Inventor,Character,"Give It A Try - Whenever this character quests, you pay 2 {i} less for the next item you play this turn.

It Works! - Whenever you play an item, you may draw a card.","Dreamborn, Mentor, Inventor",2.0,7.0,2.0,,,"['Give It A Try', 'It Works!']"
1_153,Sapphire,https://lorcana-api.com/images/merlin/self-appointed_mentor/merlin-self-appointed_mentor-large.png,4,True,Merlin - Self-Appointed Mentor,Character,"Support (Whenever this character quests, you may add their {s} to another chosen character's {s} this turn.)","Dreamborn, Mentor, Sorcerer",1.0,4.0,3.0,,Support,['Support']
1_154,Sapphire,https://lorcana-api.com/images/mickey_mouse/detective/mickey_mouse-detective-large.png,3,False,Mickey Mouse - Detective,Character,"Get A Clue - When you play this character, you may put the top card of your deck into your inkwell facedown and exerted.","Dreamborn, Hero, Detective",1.0,3.0,1.0,,,['Get A Clue']
1_155,Sapphire,https://lorcana-api.com/images/mufasa/king_of_the_pride_lands/mufasa-king_of_the_pride_lands-large.png,6,True,Mufasa - King of the Pride Lands,Character,,"Storyborn, Mentor, King",3.0,6.0,4.0,,,[]
1_156,Sapphire,https://lorcana-api.com/images/philoctetes/trainer_of_heroes/philoctetes-trainer_of_heroes-large.png,2,True,Philoctetes - Trainer of Heroes,Character,"Support (Whenever this character quests, you may add their {s} to another chosen character's {s} this turn.)","Storyborn, Mentor",1.0,1.0,3.0,,Support,['Support']
1_157,Sapphire,https://lorcana-api.com/images/robin_hood/unrivaled_archer/robin_hood-unrivaled_archer-large.png,6,True,Robin Hood - Unrivaled Archer,Character,"Feed The Poor - When you play this character, if an opponent has more cards in their hand than you, draw a card.  Good Shot - During your turn, this character gains Evasive. (They can challenge characters with Evasive.)","Storyborn, Hero",2.0,4.0,4.0,,Evasive,"['Feed The Poor', 'Good Shot']"
1_158,Sapphire,https://lorcana-api.com/images/scar/mastermind/scar-mastermind-large.png,6,True,Scar - Mastermind,Character,"Insidious Plot - When you play this character, chosen opposing character gets -5 {s} this turn.","Storyborn, Villain",2.0,4.0,5.0,,,['Insidious Plot']
1_159,Sapphire,https://lorcana-api.com/images/tamatoa/so_shiny!/tamatoa-so_shiny!-large.png,8,True,Tamatoa - So Shiny!,Character,"What Have We Here? - When you play this character and whenever he quests, you may return an item card from your discard to your hand.

Glam - This character gets +1 {l} for each item you have in play.","Storyborn, Villain",1.0,8.0,5.0,,,"['What Have We Here?', 'Glam']"
1_16,Amber,https://lorcana-api.com/images/prince_phillip/dragonslayer/prince_phillip-dragonslayer-large.png,4,False,Prince Phillip - Dragonslayer,Character,"Heroism - When this character challenges and is banished, you may banish the challenged character.","Storyborn, Hero, Prince",2.0,3.0,3.0,,,['Heroism']
1_160,Sapphire,https://lorcana-api.com/images/triton/the_sea_king/triton-the_sea_king-large.png,7,True,Triton - The Sea King,Character,,"Storyborn, King",2.0,9.0,5.0,,,[]
1_17,Amber,https://lorcana-api.com/images/pumbaa/friendly_warthog/pumbaa-friendly_warthog-large.png,4,True,Pumbaa - Friendly Warthog,Character,,"Storyborn, Ally",1.0,5.0,3.0,,,[]
1_171,Steel,https://lorcana-api.com/images/aladdin/cornered_swordsman/aladdin-cornered_swordsman-large.png,2,True,Aladdin - Cornered Swordsman,Character,,"Storyborn, Hero",2.0,1.0,2.0,,,[]
1_172,Steel,https://lorcana-api.com/images/beast/hardheaded/beast-hardheaded-large.png,5,True,Beast - Hardheaded,Character,"Break - When you play this character, you may banish chosen item.","Storyborn, Hero, Prince",2.0,4.0,4.0,,,['Break']
1_173,Steel,https://lorcana-api.com/images/captain_hook/captain_of_the_jolly_roger/captain_hook-captain_of_the_jolly_roger-large.png,4,False,Captain Hook - Captain of the Jolly Roger,Character,"Double The Powder - When you play this character, you may return an action card named Fire the Cannons! from your discard to your hand.","Storyborn, Villain, Pirate, Captain",1.0,4.0,3.0,,,['Double The Powder']
1_174,Steel,https://lorcana-api.com/images/captain_hook/forceful_duelist/captain_hook-forceful_duelist-large.png,1,True,Captain Hook - Forceful Duelist,Character,"Challenger +2 (When challenging, this character gets +2 {s}.) ","Dreamborn, Villain, Pirate, Captain",1.0,2.0,1.0,,Challenger +2,['Challenger +2']
1_175,Steel,https://lorcana-api.com/images/captain_hook/thinking_a_happy_thought/captain_hook-thinking_a_happy_thought-large.png,5,False,Captain Hook - Thinking a Happy Thought,Character,"Shift 3 (You may pay 3 {i} to play this on top of one of your characters named Captain Hook.) 

Challenger +3 (When challenging, this character get +3 {s}.) 

Stolen Dust - Characters with cost 3 or less can't challenge this character.","Floodborn, Villain, Pirate, Captain",1.0,5.0,2.0,,"Shift 3, Challenger +3","['Shift 3', 'Challenger +3', 'Stolen Dust']"
1_176,Steel,https://lorcana-api.com/images/cerberus/three-headed_dog/cerberus-three-headed_dog-large.png,5,True,Cerberus - Three-Headed Dog,Character,,Storyborn,1.0,6.0,5.0,,,[]
1_177,Steel,https://lorcana-api.com/images/donald_duck/musketeer/donald_duck-musketeer-large.png,4,True,Donald Duck - Musketeer,Character,"Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.) 

Stay Alert! - During your turn, your Musketeer characters gain Evasive. (They can challenge characters with Evasive.)","Dreamborn, Hero, Musketeer",1.0,5.0,2.0,,"Bodyguard, Evasive","['Bodyguard', 'Stay Alert!']"
1_178,Steel,https://lorcana-api.com/images/gantu/galactic_federation_captain/gantu-galactic_federation_captain-large.png,8,True,Gantu - Galactic Federation Captain,Character,Under Arrest - Characters with cost 2 or less can't challenge your characters.,"Storyborn, Alien, Captain",2.0,6.0,6.0,,,['Under Arrest']
1_179,Steel,https://lorcana-api.com/images/goons/maleficent's_underlings/goons-maleficent's_underlings-large.png,1,True,Goons - Maleficent's Underlings,Character,,"Storyborn, Ally",1.0,2.0,2.0,,,[]
1_18,Amber,https://lorcana-api.com/images/rapunzel/gifted_with_healing/rapunzel-gifted_with_healing-large.png,4,True,Rapunzel - Gifted with Healing,Character,"Gleam and Glow - When you play this character, remove up to 3 damage from one of your characters. Draw a card for each 1 damage removed this way.","Storyborn, Hero, Princess",2.0,5.0,1.0,,,['Gleam and Glow']
1_180,Steel,https://lorcana-api.com/images/hans/thirteenth_in_line/hans-thirteenth_in_line-large.png,4,True,Hans - Thirteenth in Line,Character,"Stage A Little Accident - Whenever this character quests, you may deal 1 damage to chosen character.","Storyborn, Villain, Prince",2.0,3.0,3.0,,,['Stage A Little Accident']
1_181,Steel,https://lorcana-api.com/images/hercules/true_hero/hercules-true_hero-large.png,3,True,Hercules - True Hero,Character,Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.),"Dreamborn, Hero, Prince",1.0,3.0,3.0,,Bodyguard,['Bodyguard']
1_182,Steel,https://lorcana-api.com/images/kristoff/offical_ice_master/kristoff-offical_ice_master-large.png,3,True,Kristoff - Offical Ice Master,Character,,"Storyborn, Ally",2.0,3.0,3.0,,,[]
1_183,Steel,https://lorcana-api.com/images/kronk/right-hand_man/kronk-right-hand_man-large.png,6,True,Kronk - Right-Hand Man,Character,,"Storyborn, Ally",2.0,6.0,6.0,,,[]
1_184,Steel,https://lorcana-api.com/images/lilo/galactic_hero/lilo-galactic_hero-large.png,3,True,Lilo - Galactic Hero,Character,,"Dreamborn, Hero",2.0,2.0,4.0,,,[]
1_185,Steel,https://lorcana-api.com/images/maui/demigod/maui-demigod-large.png,8,True,Maui - Demigod,Character,,"Storyborn, Hero, Deity",3.0,8.0,8.0,,,[]
1_186,Steel,https://lorcana-api.com/images/mickey_mouse/musketeer/mickey_mouse-musketeer-large.png,6,True,Mickey Mouse - Musketeer,Character,"Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)

All For One - Your other musketeer character get +1 {s}.","Dreamborn, Hero, Musketeer",2.0,7.0,2.0,,Bodyguard,"['Bodyguard', 'All For One']"
1_187,Steel,https://lorcana-api.com/images/prince_eric/dashing_and_brave/prince_eric-dashing_and_brave-large.png,2,True,Prince Eric - Dashing and Brave,Character,"Challenger +2 (When challenging, this character get +2 {s}.) ","Storyborn, Hero, Prince",1.0,3.0,1.0,,Challenger +2,['Challenger +2']
1_188,Steel,https://lorcana-api.com/images/simba/future_king/simba-future_king-large.png,1,True,Simba - Future King,Character,"Guess What? - When you play this character, you may draw a card, then choose and discard a card.","Storyborn, Hero, Prince",1.0,2.0,1.0,,,['Guess What?']
1_189,Steel,https://lorcana-api.com/images/simba/returned_king/simba-returned_king-large.png,7,True,Simba - Returned King,Character,"Challenger +4 (While challenging, this character gets +4 {s}.)

POUNCE: During your turn, this character gains Evasive. (They can challenge characters with Evasive.)","Storyborn, Hero, King",2.0,6.0,4.0,,"Challenger +4, Evasive","['Challenger +4', 'POUNCE']"
1_19,Amber,https://lorcana-api.com/images/sebastion/court_composer/sebastion-court_composer-large.png,2,True,Sebastian - Court Composer,Character,Singer 4 (This character counts as cost 4 to sing songs.),"Storyborn, Ally",1.0,2.0,2.0,,Singer 4,['Singer 4']
1_190,Steel,https://lorcana-api.com/images/simba/rightful_heir/simba-rightful_heir-large.png,5,False,Simba - Rightful Heir,Character,"I Know What I Have To Do - During your turn, whenever this character banishes another character in a challenge, you gain 1 lore.","Storyborn, Hero, Prince",2.0,5.0,3.0,,,['I Know What I Have To Do']
1_191,Steel,https://lorcana-api.com/images/starkey/hook's_henchman/starkey-hook's_henchman-large.png,5,True,Starkey - Hook's Henchman,Character,"Aye Aye, Captain - While you have a Captain character in play, this character gets +1 {l}.","Storyborn, Ally, Pirate",1.0,4.0,5.0,,,"['Aye Aye, Captain']"
1_192,Steel,https://lorcana-api.com/images/te_ka/heartless/te_ka-heartless-large.png,6,True,Te Ka - Heartless,Character,"Seek The Heart - During your turn, whenever this character banishes another character in a challenge, you gain 2 lore.","Dreamborn, Villain, Deity",2.0,5.0,5.0,,,['Seek The Heart']
1_193,Steel,https://lorcana-api.com/images/tinker_bell/giant_fairy/tinker_bell-giant_fairy-large.png,6,True,Tinker Bell - Giant Fairy,Character,"Shift 4 (You may pay 4 {i} to play this on top of one of your characters named Tinker Bell.) 

ROCK THE BOAT: When you play this character, deal 1 damage to each opposing character.

Puny Pirate! - During your turn, whenever this character banishes another character in a challenge, you may deal 2 damage to chosen opposing character.","Floodborn, Ally, Fairy",2.0,5.0,4.0,,Shift 4,"['Shift 4', 'ROCK THE BOAT', 'Puny Pirate!']"
1_194,Steel,https://lorcana-api.com/images/tinker_bell/tiny_tactician/tinker_bell-tiny_tactician-large.png,3,True,Tinker Bell - Tiny Tactician,Character,"Battle Plans - {e} - Draw a card, then choose and discard a card.","Dreamborn, Ally, Fairy",1.0,4.0,2.0,,,['Battle Plans']
1_2,Amber,https://lorcana-api.com/images/ariel/spectacular_singer/ariel-spectacular_singer-large.png,3,True,Ariel - Spectacular Singer,Character,"Singer 5 (This character counts as cost 5 to sing songs.) 

Musical Debut - When you play this character, look at the top 4 cards of your deck. You may reveal a song card and put it into your hand. Put the rest on the bottom of your deck in any order.","Storyborn, Hero, Princess",1.0,3.0,2.0,,Singer 5,"['Singer 5', 'Musical Debut']"
1_20,Amber,https://lorcana-api.com/images/simba/protective_cub/simba-protective_cub-large.png,2,True,Simba - Protective Cub,Character,Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.),"Storyborn, Hero, Prince",1.0,3.0,2.0,,Bodyguard,['Bodyguard']
1_21,Amber,https://lorcana-api.com/images/stitch/carefree_surfer/stitch-carefree_surfer-large.png,7,True,Stitch - Carefree Surfer,Character,"Ohana - When you play this character, if you have 2 or more other characters in play, you may draw 2 cards.","Dreamborn, Hero, Alien",2.0,8.0,4.0,,,['Ohana']
1_22,Amber,https://lorcana-api.com/images/stitch/new_dog/stitch-new_dog-large.png,1,True,Stitch - New Dog,Character,,"Storyborn, Hero, Alien",1.0,2.0,2.0,,,[]
1_23,Amber,https://lorcana-api.com/images/stitch/rock_star/stitch-rock_star-large.png,6,True,Stitch - Rock Star,Character,"Shift 4 (You may pay 4 {i} to play this on top of one of your characters named Stitch.) 

Adoring Fans - Whenever you play a character with cost 2 or less, you may exert them to draw a card.","Floodborn, Hero, Alien",3.0,5.0,3.0,,Shift 4,"['Shift 4', 'Adoring Fans']"
1_24,Amber,https://lorcana-api.com/images/timon/grub_rustler/timon-grub_rustler-large.png,1,True,Timon - Grub Rustler,Character,"Tastes Like Chicken - When you play this character, you may remove up to 1 damage from chosen character.","Storyborn, Ally",1.0,2.0,1.0,,,['Tastes Like Chicken']
1_3,Amber,https://lorcana-api.com/images/cinderella/gentle_and_kind/cinderella-gentle_and_kind-large.png,4,True,Cinderella - Gentle and Kind,Character,"Singer 5 (This character counts as cost 5 to sing songs.) 

A Wonderful Dream - {e} - Remove up to 3 damage from chosen Princess character.","Storyborn, Hero, Princess",2.0,5.0,2.0,,Singer 5,"['Singer 5', 'A Wonderful Dream']"
1_35,Amethyst,https://lorcana-api.com/images/anna/heir_to_arendelle/anna-heir_to_arendelle-large.png,4,True,Anna - Heir to Arendelle,Character,"Loving Heart - When you play this character, if you have a character named Elsa in play, choose an opposing character. The chosen character doesn't ready at the start of their next turn.","Storyborn, Hero, Queen",2.0,4.0,2.0,,,['Loving Heart']
1_36,Amethyst,https://lorcana-api.com/images/archimedes/highly_educated_owl/archimedes-highly_educated_owl-large.png,1,True,Archimedes - Highly Educated Owl,Character,,"Dreamborn, Ally",1.0,2.0,2.0,,,[]
1_37,Amethyst,https://lorcana-api.com/images/dr._facilier/agent_provocateur/dr._facilier-agent_provocateur-large.png,7,False,Dr. Facilier - Agent Provocateur,Character,"Shift 5 (You may pay 5 {i} to play this on top of one of your characters named Dr. Facilier.) 

Into The Shadows - Whenever one of your other characters is banished in a challenge, you may return that card to your hand.","Floodborn, Villain, Sorcerer",3.0,5.0,4.0,,Shift 5,"['Shift 5', 'Into The Shadows']"
1_38,Amethyst,https://lorcana-api.com/images/dr._facilier/charlatan/dr._facilier-charlatan-large.png,2,True,Dr. Facilier - Charlatan,Character,"Challenger +2 (When challenging, this character get +2 {s}.) ","Storyborn, Villain, Sorcerer",1.0,4.0,0.0,,Challenger +2,['Challenger +2']
